epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,182.806,0.30822,0.97188,1,0.12061,0.000548721,0.000548721,0.000548721
2,326.728,0.17569,0.96562,1,0.12528,0.00108252,0.00108252,0.00108252
3,468.466,0.17363,0.96562,1,0.10326,0.00159432,0.00159432,0.00159432
4,605.094,0.14318,0.9375,1,0.23557,0.00156798,0.00156798,0.00156798
5,741.761,0.12588,0.97188,1,0.13498,0.00153497,0.00153497,0.00153497
6,881.039,0.09737,0.975,1,0.08694,0.00150197,0.00150197,0.00150197
7,1014.04,0.08815,0.97812,1,0.08029,0.00146896,0.00146896,0.00146896
8,1148.93,0.09853,0.96875,1,0.10128,0.00143595,0.00143595,0.00143595
9,1282.21,0.07883,0.99063,1,0.05183,0.00140295,0.00140295,0.00140295
10,1415.71,0.06784,0.98438,1,0.0849,0.00136994,0.00136994,0.00136994
11,1552.66,0.07674,0.9875,1,0.0589,0.00133693,0.00133693,0.00133693
12,1681.36,0.08188,0.98438,1,0.06079,0.00130393,0.00130393,0.00130393
13,1821.86,0.07294,0.9875,1,0.05714,0.00127092,0.00127092,0.00127092
14,1952.04,0.07071,0.99063,1,0.0595,0.00123791,0.00123791,0.00123791
15,2095.95,0.06215,0.98438,1,0.0586,0.00120491,0.00120491,0.00120491
16,2219.68,0.06354,0.98438,1,0.06215,0.0011719,0.0011719,0.0011719
17,2352.97,0.05649,0.97812,1,0.07425,0.00113889,0.00113889,0.00113889
18,2488.02,0.05457,0.9875,1,0.04261,0.00110589,0.00110589,0.00110589
19,2626.17,0.04958,0.97812,1,0.05572,0.00107288,0.00107288,0.00107288
20,2756.83,0.04908,0.99375,1,0.04686,0.00103987,0.00103987,0.00103987
21,2900.55,0.04212,0.98438,1,0.04512,0.00100687,0.00100687,0.00100687
22,3031.45,0.0483,0.9875,1,0.04444,0.000973861,0.000973861,0.000973861
23,3172.53,0.04154,0.98125,1,0.06202,0.000940855,0.000940855,0.000940855
24,3298.51,0.04457,0.99063,1,0.0537,0.000907848,0.000907848,0.000907848
25,3430.91,0.03489,0.98438,1,0.05538,0.000874842,0.000874842,0.000874842
26,3572.28,0.04316,0.99063,1,0.04055,0.000841835,0.000841835,0.000841835
27,3706.55,0.04471,0.99375,1,0.04692,0.000808828,0.000808828,0.000808828
28,3843.05,0.03428,0.99063,1,0.06406,0.000775822,0.000775822,0.000775822
29,3977.57,0.03082,0.99375,1,0.03797,0.000742815,0.000742815,0.000742815
30,4109.5,0.03872,0.99063,1,0.04967,0.000709809,0.000709809,0.000709809
31,4252.94,0.03416,0.99063,1,0.06113,0.000676802,0.000676802,0.000676802
32,4378.75,0.03789,0.99063,1,0.07433,0.000643795,0.000643795,0.000643795
33,4512.1,0.04005,0.99063,1,0.04516,0.000610789,0.000610789,0.000610789
34,4650,0.0398,0.9875,1,0.05011,0.000577782,0.000577782,0.000577782
35,4784.27,0.0332,0.9875,1,0.05071,0.000544776,0.000544776,0.000544776
36,4922.17,0.03004,0.99063,1,0.05051,0.000511769,0.000511769,0.000511769
37,5057.2,0.03525,0.9875,1,0.06927,0.000478762,0.000478762,0.000478762
38,5196.97,0.02733,0.99375,1,0.03907,0.000445756,0.000445756,0.000445756
39,5318.62,0.02505,0.99375,1,0.04181,0.000412749,0.000412749,0.000412749
40,5455.09,0.02298,0.9875,1,0.04899,0.000379743,0.000379743,0.000379743
41,5604.66,0.02614,0.99063,1,0.04185,0.000346736,0.000346736,0.000346736
42,5742.64,0.02373,0.99063,1,0.03857,0.000313729,0.000313729,0.000313729
43,5877.79,0.02154,0.99375,1,0.03701,0.000280723,0.000280723,0.000280723
44,6017.75,0.01921,0.99375,1,0.03769,0.000247716,0.000247716,0.000247716
45,6158.32,0.01833,0.99375,1,0.03796,0.00021471,0.00021471,0.00021471
46,6286.68,0.01832,0.99375,1,0.03762,0.000181703,0.000181703,0.000181703
47,6423.71,0.01484,0.99375,1,0.03535,0.000148696,0.000148696,0.000148696
48,6562.46,0.01395,0.99375,1,0.03811,0.00011569,0.00011569,0.00011569
49,6695.91,0.01544,0.99063,1,0.03822,8.26832e-05,8.26832e-05,8.26832e-05
50,6832.15,0.01189,0.99063,1,0.03944,4.96766e-05,4.96766e-05,4.96766e-05
