epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
27,3393.34,0.00787,0.99677,1,0.00642,0.00109489,0.00109489,0.00109489
28,3516.93,0.00791,1,1,0.00168,0.00107288,0.00107288,0.00107288
29,3647.91,0.01183,1,1,0.00211,0.00105088,0.00105088,0.00105088
30,3768.59,0.01049,1,1,0.00327,0.00102887,0.00102887,0.00102887
31,3892.65,0.0156,1,1,0.00171,0.00100687,0.00100687,0.00100687
32,4019.21,0.01,0.99677,1,0.02021,0.000984864,0.000984864,0.000984864
33,4144.49,0.01279,1,1,0.00119,0.000962859,0.000962859,0.000962859
34,4263.85,0.01045,1,1,0.00163,0.000940855,0.000940855,0.000940855
35,4384.06,0.00738,0.99677,1,0.00275,0.00091885,0.00091885,0.00091885
36,4510.1,0.01284,0.99677,1,0.0042,0.000896846,0.000896846,0.000896846
37,4644.23,0.01503,1,1,0.0007,0.000874842,0.000874842,0.000874842
38,4759.16,0.01052,1,1,0.00217,0.000852837,0.000852837,0.000852837
39,4887.84,0.01265,0.99355,1,0.00977,0.000830833,0.000830833,0.000830833
40,5006.6,0.01426,0.99677,1,0.00989,0.000808828,0.000808828,0.000808828
41,5141.15,0.00559,0.99355,1,0.01579,0.000786824,0.000786824,0.000786824
42,5258.14,0.0056,0.99677,1,0.00369,0.00076482,0.00076482,0.00076482
43,5380.98,0.00781,1,1,0.0003,0.000742815,0.000742815,0.000742815
44,5499.61,0.00558,1,1,0.00105,0.000720811,0.000720811,0.000720811
45,5636.58,0.00636,1,1,0.00123,0.000698806,0.000698806,0.000698806
46,5761.94,0.00763,0.99355,1,0.01477,0.000676802,0.000676802,0.000676802
47,5884.24,0.01767,1,1,0.00106,0.000654798,0.000654798,0.000654798
48,6008.76,0.01618,1,1,0.00288,0.000632793,0.000632793,0.000632793
49,6129.19,0.00667,0.99677,1,0.00517,0.000610789,0.000610789,0.000610789
50,6253.99,0.00554,0.99677,1,0.00785,0.000588784,0.000588784,0.000588784
51,6378.95,0.01001,0.99677,1,0.0049,0.00056678,0.00056678,0.00056678
52,6502,0.00613,1,1,0.00324,0.000544776,0.000544776,0.000544776
53,6624.69,0.00694,1,1,0.00141,0.000522771,0.000522771,0.000522771
54,6746.74,0.00606,0.99677,1,0.0039,0.000500767,0.000500767,0.000500767
55,6872.51,0.00227,0.99677,1,0.00442,0.000478762,0.000478762,0.000478762
56,6995.65,0.00195,1,1,0.00066,0.000456758,0.000456758,0.000456758
57,7124.91,0.00187,0.99355,1,0.00696,0.000434754,0.000434754,0.000434754
58,7253.47,0.00289,1,1,0.00046,0.000412749,0.000412749,0.000412749
59,7378.17,0.00403,1,1,0.00093,0.000390745,0.000390745,0.000390745
60,7502.28,0.00531,1,1,8e-05,0.00036874,0.00036874,0.00036874
61,7625.25,0.00315,1,1,0.00024,0.000346736,0.000346736,0.000346736
62,7743.38,0.00295,1,1,0.0019,0.000324732,0.000324732,0.000324732
63,7882.3,0.00437,1,1,0.00019,0.000302727,0.000302727,0.000302727
64,7999.28,0.00199,1,1,0.00243,0.000280723,0.000280723,0.000280723
65,8122.08,0.00215,1,1,0.00333,0.000258718,0.000258718,0.000258718
66,8257.91,0.00181,1,1,0.0014,0.000236714,0.000236714,0.000236714
67,8379.96,0.00194,1,1,0.00255,0.00021471,0.00021471,0.00021471
68,8513.18,0.00207,1,1,0.00061,0.000192705,0.000192705,0.000192705
69,8636.08,0.00345,1,1,0.00036,0.000170701,0.000170701,0.000170701
70,8762.94,0.00407,1,1,0.00065,0.000148696,0.000148696,0.000148696
71,8881.66,0.00186,1,1,0.00019,0.000126692,0.000126692,0.000126692
72,9011.38,0.00202,1,1,0.00079,0.000104688,0.000104688,0.000104688
73,9135.67,0.00316,1,1,0.00107,8.26832e-05,8.26832e-05,8.26832e-05
74,9263.57,0.00189,1,1,0.0001,6.06788e-05,6.06788e-05,6.06788e-05
75,9386.36,0.00085,1,1,0.00014,3.86744e-05,3.86744e-05,3.86744e-05
