epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,177.603,0.23336,0.96774,1,0.1036,0.000548055,0.000548055,0.000548055
2,302.929,0.07743,0.87742,1,0.37087,0.00108915,0.00108915,0.00108915
3,422.965,0.09302,0.97419,1,0.05313,0.00161558,0.00161558,0.00161558
4,544.867,0.09096,0.97742,1,0.07749,0.00160099,0.00160099,0.00160099
5,669.004,0.0886,0.99677,1,0.02363,0.00157898,0.00157898,0.00157898
6,786.133,0.067,0.99032,1,0.02844,0.00155698,0.00155698,0.00155698
7,919.388,0.04956,1,1,0.00334,0.00153497,0.00153497,0.00153497
8,1044.63,0.04946,0.99677,1,0.02266,0.00151297,0.00151297,0.00151297
9,1169.48,0.04568,0.9871,1,0.06793,0.00149096,0.00149096,0.00149096
10,1288.96,0.03394,0.97742,1,0.06667,0.00146896,0.00146896,0.00146896
11,1417.35,0.03657,0.98387,1,0.03824,0.00144696,0.00144696,0.00144696
12,1539.48,0.05064,0.99677,1,0.00949,0.00142495,0.00142495,0.00142495
13,1660.49,0.03678,0.9871,1,0.03525,0.00140295,0.00140295,0.00140295
14,1789.17,0.03916,0.9871,1,0.04017,0.00138094,0.00138094,0.00138094
15,1910.94,0.05568,0.9871,1,0.0372,0.00135894,0.00135894,0.00135894
16,2026.9,0.05734,0.95806,1,0.08277,0.00133693,0.00133693,0.00133693
17,2153,0.06583,0.97742,1,0.05146,0.00131493,0.00131493,0.00131493
18,2273.02,0.03623,0.99677,1,0.01793,0.00129293,0.00129293,0.00129293
19,2408.15,0.04417,0.99355,1,0.04034,0.00127092,0.00127092,0.00127092
20,2531.82,0.02447,1,1,0.00152,0.00124892,0.00124892,0.00124892
21,2653.41,0.02389,0.99677,1,0.00747,0.00122691,0.00122691,0.00122691
22,2781.8,0.01431,0.99677,1,0.00626,0.00120491,0.00120491,0.00120491
23,2900.67,0.01213,1,1,0.00316,0.0011829,0.0011829,0.0011829
24,3020.37,0.02994,0.99355,1,0.01096,0.0011609,0.0011609,0.0011609
25,3143.18,0.01922,0.99677,1,0.00998,0.00113889,0.00113889,0.00113889
26,3268.07,0.01514,0.99677,1,0.00448,0.00111689,0.00111689,0.00111689
