epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,147.966,0.24667,0.96617,1,0.08123,0.000547373,0.000547373,0.000547373
2,256.401,0.1348,0.93985,1,0.14513,0.00108848,0.00108848,0.00108848
3,362.432,0.20229,0.91729,1,0.32877,0.00161492,0.00161492,0.00161492
4,481.011,0.15014,0.86842,1,0.5626,0.00160099,0.00160099,0.00160099
5,583.657,0.1398,0.95865,1,0.11709,0.00157898,0.00157898,0.00157898
6,694.727,0.12061,0.96241,1,0.12422,0.00155698,0.00155698,0.00155698
7,810.528,0.12945,0.95113,1,0.09262,0.00153497,0.00153497,0.00153497
8,917.091,0.09888,0.96617,1,0.0939,0.00151297,0.00151297,0.00151297
9,1020.9,0.08047,0.96617,1,0.07237,0.00149096,0.00149096,0.00149096
10,1128.97,0.08345,0.96617,1,0.07061,0.00146896,0.00146896,0.00146896
11,1247.67,0.08967,0.97368,1,0.06867,0.00144696,0.00144696,0.00144696
12,1355.21,0.08856,0.96241,1,0.09266,0.00142495,0.00142495,0.00142495
13,1476.67,0.08951,0.97368,1,0.08311,0.00140295,0.00140295,0.00140295
14,1579.46,0.0676,0.97368,1,0.04527,0.00138094,0.00138094,0.00138094
15,1689.6,0.07458,0.97368,1,0.07331,0.00135894,0.00135894,0.00135894
16,1802.06,0.07512,0.96992,1,0.09313,0.00133693,0.00133693,0.00133693
17,1907.89,0.07022,0.97744,1,0.05324,0.00131493,0.00131493,0.00131493
18,2016.45,0.07363,0.96992,1,0.10072,0.00129293,0.00129293,0.00129293
19,2121.65,0.05213,0.97368,1,0.07151,0.00127092,0.00127092,0.00127092
20,2238.29,0.05326,0.9812,1,0.0417,0.00124892,0.00124892,0.00124892
21,2351.12,0.05374,0.97744,1,0.04771,0.00122691,0.00122691,0.00122691
22,2454.16,0.05537,0.96617,1,0.06573,0.00120491,0.00120491,0.00120491
23,2569.15,0.04998,0.97744,1,0.05485,0.0011829,0.0011829,0.0011829
24,2680.55,0.06876,0.9812,1,0.04897,0.0011609,0.0011609,0.0011609
25,2790.13,0.05283,0.97368,1,0.10391,0.00113889,0.00113889,0.00113889
26,2905.33,0.05554,0.97744,1,0.04689,0.00111689,0.00111689,0.00111689
27,3006.28,0.0483,0.97744,1,0.03561,0.00109489,0.00109489,0.00109489
28,3115.68,0.05584,0.97744,1,0.0481,0.00107288,0.00107288,0.00107288
29,3231.54,0.052,0.9812,1,0.03745,0.00105088,0.00105088,0.00105088
