epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,222.294,0.22042,0.95415,1,0.0961,0.000546249,0.000546249,0.000546249
2,378.131,0.15675,0.9255,1,0.17157,0.00108737,0.00108737,0.00108737
3,531.024,0.16206,0.93983,1,0.33984,0.00161382,0.00161382,0.00161382
4,682.006,0.16078,0.95702,1,0.12434,0.00160099,0.00160099,0.00160099
5,885.03,0.13239,0.95989,1,0.09781,0.00157898,0.00157898,0.00157898
6,1069.22,0.12162,0.95989,1,0.09624,0.00155698,0.00155698,0.00155698
7,1209.97,0.11757,0.9341,1,0.19476,0.00153497,0.00153497,0.00153497
8,1363.4,0.12299,0.94842,1,0.13329,0.00151297,0.00151297,0.00151297
9,1552.28,0.11709,0.96275,1,0.11792,0.00149096,0.00149096,0.00149096
10,1705.03,0.11184,0.95702,1,0.09397,0.00146896,0.00146896,0.00146896
11,1856.9,0.10558,0.96275,1,0.08427,0.00144696,0.00144696,0.00144696
12,2001.54,0.0908,0.95415,1,0.09615,0.00142495,0.00142495,0.00142495
13,2164.9,0.09668,0.96275,1,0.1056,0.00140295,0.00140295,0.00140295
14,2305.97,0.09017,0.97135,1,0.1075,0.00138094,0.00138094,0.00138094
15,2454.86,0.09084,0.95989,1,0.1109,0.00135894,0.00135894,0.00135894
16,2608.93,0.09336,0.88252,1,0.27365,0.00133693,0.00133693,0.00133693
17,2776.13,0.08873,0.96275,1,0.09149,0.00131493,0.00131493,0.00131493
18,2917.66,0.08907,0.96562,1,0.0972,0.00129293,0.00129293,0.00129293
19,3074.46,0.08295,0.97708,1,0.05367,0.00127092,0.00127092,0.00127092
20,3224.05,0.08189,0.96562,1,0.08309,0.00124892,0.00124892,0.00124892
21,3375.83,0.08069,0.97421,1,0.05661,0.00122691,0.00122691,0.00122691
22,3531.43,0.08871,0.97135,1,0.09401,0.00120491,0.00120491,0.00120491
23,3682.06,0.07123,0.96848,1,0.07339,0.0011829,0.0011829,0.0011829
24,3834.54,0.07966,0.96275,1,0.10547,0.0011609,0.0011609,0.0011609
25,3995.71,0.0796,0.95989,1,0.13528,0.00113889,0.00113889,0.00113889
26,4147.81,0.07949,0.97421,1,0.07506,0.00111689,0.00111689,0.00111689
27,4292.76,0.06953,0.97708,1,0.06548,0.00109489,0.00109489,0.00109489
28,4451.47,0.05535,0.97135,1,0.07855,0.00107288,0.00107288,0.00107288
29,4602.76,0.06095,0.96562,1,0.16574,0.00105088,0.00105088,0.00105088
30,4750.31,0.07033,0.97421,1,0.06821,0.00102887,0.00102887,0.00102887
31,4906.94,0.0693,0.97135,1,0.0807,0.00100687,0.00100687,0.00100687
32,5062.2,0.06885,0.97708,1,0.06369,0.000984864,0.000984864,0.000984864
33,5217.87,0.05993,0.97994,1,0.06378,0.000962859,0.000962859,0.000962859
34,5364.88,0.04737,0.97421,1,0.08129,0.000940855,0.000940855,0.000940855
35,5521.45,0.0634,0.97135,1,0.08448,0.00091885,0.00091885,0.00091885
36,5671.56,0.05615,0.98281,1,0.05569,0.000896846,0.000896846,0.000896846
37,5824.15,0.05648,0.97994,1,0.05251,0.000874842,0.000874842,0.000874842
38,5976,0.05794,0.97135,1,0.08204,0.000852837,0.000852837,0.000852837
39,6136.52,0.05113,0.98281,1,0.0557,0.000830833,0.000830833,0.000830833
40,6280.08,0.04929,0.96848,1,0.08396,0.000808828,0.000808828,0.000808828
41,6437.98,0.05193,0.97708,1,0.07525,0.000786824,0.000786824,0.000786824
42,6604.61,0.04497,0.98281,1,0.04903,0.00076482,0.00076482,0.00076482
43,6748.94,0.04456,0.98281,1,0.05804,0.000742815,0.000742815,0.000742815
44,6901.89,0.04651,0.97994,1,0.09038,0.000720811,0.000720811,0.000720811
45,7053.46,0.05161,0.98281,1,0.04692,0.000698806,0.000698806,0.000698806
46,7212.95,0.0516,0.98854,1,0.06739,0.000676802,0.000676802,0.000676802
47,7358.02,0.04449,0.97708,1,0.06161,0.000654798,0.000654798,0.000654798
48,7505.54,0.04293,0.98567,1,0.05318,0.000632793,0.000632793,0.000632793
49,7667.14,0.04524,0.98567,1,0.07302,0.000610789,0.000610789,0.000610789
50,7813.3,0.0451,0.98281,1,0.04555,0.000588784,0.000588784,0.000588784
51,7972.24,0.03065,0.98854,1,0.04713,0.00056678,0.00056678,0.00056678
52,8125.44,0.03371,0.98567,1,0.04078,0.000544776,0.000544776,0.000544776
53,8269.28,0.04016,0.98281,1,0.05704,0.000522771,0.000522771,0.000522771
54,8428.79,0.0337,0.98567,1,0.06184,0.000500767,0.000500767,0.000500767
55,8580.06,0.0365,0.98567,1,0.06784,0.000478762,0.000478762,0.000478762
56,8730.42,0.03258,0.98567,1,0.06358,0.000456758,0.000456758,0.000456758
57,8894.03,0.0355,0.98854,1,0.06588,0.000434754,0.000434754,0.000434754
58,9037.16,0.03391,0.98854,1,0.05197,0.000412749,0.000412749,0.000412749
59,9193.46,0.03255,0.98854,1,0.04303,0.000390745,0.000390745,0.000390745
60,9346.68,0.03273,0.98854,1,0.03185,0.00036874,0.00036874,0.00036874
61,9492.94,0.02701,0.98567,1,0.04865,0.000346736,0.000346736,0.000346736
62,9654.57,0.02824,0.98567,1,0.04773,0.000324732,0.000324732,0.000324732
63,9800.12,0.02704,0.98854,1,0.03362,0.000302727,0.000302727,0.000302727
64,9956.41,0.02073,0.9914,1,0.04628,0.000280723,0.000280723,0.000280723
65,10104.3,0.02287,0.98854,1,0.02691,0.000258718,0.000258718,0.000258718
66,10274.9,0.02259,0.98854,1,0.03587,0.000236714,0.000236714,0.000236714
67,10419.6,0.02508,0.9914,1,0.03836,0.00021471,0.00021471,0.00021471
68,10559.2,0.0205,0.98854,1,0.03437,0.000192705,0.000192705,0.000192705
69,10700.6,0.01962,0.9914,1,0.03885,0.000170701,0.000170701,0.000170701
70,10837.9,0.02528,0.9914,1,0.03688,0.000148696,0.000148696,0.000148696
71,10985.6,0.01923,0.9914,1,0.04404,0.000126692,0.000126692,0.000126692
72,11128.2,0.01758,0.98854,1,0.04875,0.000104688,0.000104688,0.000104688
73,11266.5,0.02321,0.98854,1,0.0372,8.26832e-05,8.26832e-05,8.26832e-05
74,11412,0.01462,0.98854,1,0.03168,6.06788e-05,6.06788e-05,6.06788e-05
75,11554.9,0.01362,0.98854,1,0.03621,3.86744e-05,3.86744e-05,3.86744e-05
