epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.7077,0.31459,1,1,0.00607,0.00028339,0.00028339,0.00028339
2,60.1575,0.05483,1,1,0.00016,0.000560345,0.000560345,0.000560345
3,78.5266,0.05599,1,1,0.00029,0.000813536,0.000813536,0.000813536
4,95.4777,0.03935,1,1,1e-05,0.00104296,0.00104296,0.00104296
5,116.284,0.01725,1,1,0.00052,0.00124862,0.00124862,0.00124862
6,132.409,0.02545,1,1,0.00015,0.00133693,0.00133693,0.00133693
7,152.257,0.03639,0.96667,1,0.36476,0.00127092,0.00127092,0.00127092
8,166.057,0.25276,1,1,0.00022,0.00120491,0.00120491,0.00120491
9,188.997,0.04106,1,1,0.0544,0.00113889,0.00113889,0.00113889
10,202.942,0.0121,1,1,0.00015,0.00107288,0.00107288,0.00107288
11,222.825,0.00867,1,1,0.00022,0.00100687,0.00100687,0.00100687
12,238.387,0.01384,1,1,0.00105,0.000940855,0.000940855,0.000940855
13,259.848,0.02786,1,1,2e-05,0.000874842,0.000874842,0.000874842
14,278.485,0.01069,1,1,2e-05,0.000808828,0.000808828,0.000808828
15,294.594,0.01114,1,1,3e-05,0.000742815,0.000742815,0.000742815
16,325.046,0.05516,1,1,0.00076,0.000676802,0.000676802,0.000676802
17,342.139,0.03226,1,1,0.00012,0.000610789,0.000610789,0.000610789
18,358.991,0.02453,1,1,4e-05,0.000544776,0.000544776,0.000544776
19,375.707,0.00638,1,1,0.00013,0.000478762,0.000478762,0.000478762
20,400.584,0.00375,1,1,0.00013,0.000412749,0.000412749,0.000412749
21,415.747,0.00505,1,1,6e-05,0.000346736,0.000346736,0.000346736
22,432.291,0.00248,1,1,3e-05,0.000280723,0.000280723,0.000280723
23,449.204,0.00432,1,1,6e-05,0.00021471,0.00021471,0.00021471
24,471.941,0.00102,1,1,0.0001,0.000148696,0.000148696,0.000148696
25,487.766,0.00193,1,1,6e-05,8.26832e-05,8.26832e-05,8.26832e-05
