epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,140.224,0.52264,0.93333,1,0.24854,0.00013336,0.00013336,0.00013336
2,247.891,0.10492,1,1,0.00357,0.000255334,0.000255334,0.000255334
3,453.965,0.0348,1,1,8e-05,0.000347603,0.000347603,0.000347603
4,641.011,0.02601,1,1,2e-05,0.000410165,0.000410165,0.000410165
5,876.26,0.01053,1,1,0.00534,0.000443022,0.000443022,0.000443022
6,1106.2,0.03329,1,1,0.00079,0.000446173,0.000446173,0.000446173
7,1355.19,0.00755,1,1,7e-05,0.000419617,0.000419617,0.000419617
8,1587.36,0.01002,1,1,5e-05,0.000363356,0.000363356,0.000363356
9,1856.05,0.00902,1,1,8e-05,0.000277389,0.000277389,0.000277389
10,2096.42,0.00592,1,1,7e-05,0.000161716,0.000161716,0.000161716
